"Number of Fatalities, 2012","Rate of Fatalities, 2012","State Rank, Fatalities 2012",Number of Injuries/Illnesses 2012,Injuries/Illnesses 2012 Rate,Penalties FY 2013 (Average $),Penalties FY 2013 (Rank),Inspectors,Years to Inspect Each Workplace Once,State or Federal Program,state_name,location,ages,year,population,Abbreviation
36.0,2.1,3.0,43800.0,3.9,1735.0,30.0,24.0,107.0,Federal,Connecticut,"(41.56266394200048, -72.64983753699966)",total,2012,3591765.0,CT
43.0,2.6,12.0,42900.0,3.9,363.0,50.0,75.0,31.0,State,Oregon,"(44.567446178000466, -120.15502977999972)",under18,2012,859910.0,OR
43.0,2.6,12.0,42900.0,3.9,363.0,50.0,75.0,31.0,State,Oregon,"(44.567446178000466, -120.15502977999972)",total,2012,3899801.0,OR
82.0,3.5,25.0,,,1649.0,31.0,28.0,122.0,Federal,Colorado,"(38.84384047000049, -106.13360888799969)",under18,2012,1232864.0,CO
82.0,3.5,25.0,,,1649.0,31.0,28.0,122.0,Federal,Colorado,"(38.84384047000049, -106.13360888799969)",total,2012,5189458.0,CO
161.0,3.1,18.0,113600.0,3.2,2156.0,11.0,53.0,112.0,Federal,Ohio,"(40.06021029700048, -82.40425685299965)",under18,2012,2668125.0,OH
161.0,3.1,18.0,113600.0,3.2,2156.0,11.0,53.0,112.0,Federal,Ohio,"(40.06021029700048, -82.40425685299965)",total,2012,11553031.0,OH
35.0,12.2,49.0,6500.0,3.5,1777.0,28.0,9.0,101.0,State,Wyoming,"(43.23554147100049, -108.10982744299969)",total,2012,576626.0,WY
35.0,12.2,49.0,6500.0,3.5,1777.0,28.0,9.0,101.0,State,Wyoming,"(43.23554147100049, -108.10982744299969)",under18,2012,136526.0,WY
70.0,2.6,12.0,67500.0,3.8,768.0,44.0,58.0,57.0,State,Minnesota,"(46.35564867700049, -94.79419697699967)",under18,2012,1278050.0,MN
70.0,2.6,12.0,67500.0,3.8,768.0,44.0,58.0,57.0,State,Minnesota,"(46.35564867700049, -94.79419697699967)",total,2012,5379646.0,MN
76.0,5.7,41.0,33400.0,3.6,1971.0,19.0,16.0,110.0,Federal,Kansas,"(38.34774033400049, -98.20077655499966)",total,2012,2885398.0,KS
76.0,5.7,41.0,33400.0,3.6,1971.0,19.0,16.0,110.0,Federal,Kansas,"(38.34774033400049, -98.20077655499966)",under18,2012,726668.0,KS
19.0,2.7,15.0,,,1449.0,33.0,9.0,108.0,Federal,Idaho,"(43.682630058000484, -114.3637261449997)",total,2012,1595590.0,ID
19.0,2.7,15.0,,,1449.0,33.0,9.0,108.0,Federal,Idaho,"(43.682630058000484, -114.3637261449997)",under18,2012,427177.0,ID
67.0,2.2,4.0,89300.0,4.8,791.0,42.0,111.0,50.0,State,Washington,"(47.522287905000496, -120.47002746299972)",under18,2012,1588451.0,WA
67.0,2.2,4.0,89300.0,4.8,791.0,42.0,111.0,50.0,State,Washington,"(47.522287905000496, -120.47002746299972)",total,2012,6895318.0,WA
114.0,4.0,32.0,72900.0,4.0,2207.0,9.0,36.0,104.0,Federal,Wisconsin,"(44.3931903350005, -89.81636715299965)",under18,2012,1316113.0,WI
114.0,4.0,32.0,72900.0,4.0,2207.0,9.0,36.0,104.0,Federal,Wisconsin,"(44.3931903350005, -89.81636715299965)",total,2012,5724554.0,WI
63.0,5.5,40.0,,,1515.0,32.0,14.0,112.0,Federal,Mississippi,"(32.74551123200047, -89.53802764499966)",total,2012,2986450.0,MS
63.0,5.5,40.0,,,1515.0,32.0,14.0,112.0,Federal,Mississippi,"(32.74551123200047, -89.53802764499966)",under18,2012,742941.0,MS
116.0,6.4,43.0,30600.0,2.3,1765.0,29.0,16.0,206.0,Federal,Louisiana,"(31.312662564000448, -92.44567554599968)",total,2012,4602134.0,LA
116.0,6.4,43.0,30600.0,2.3,1765.0,29.0,16.0,206.0,Federal,Louisiana,"(31.312662564000448, -92.44567554599968)",under18,2012,1114620.0,LA
101.0,2.5,10.0,74800.0,2.8,2061.0,15.0,49.0,138.0,Federal,Georgia,"(32.83968004200045, -83.62757601199968)",total,2012,9915646.0,GA
101.0,2.5,10.0,74800.0,2.8,2061.0,15.0,49.0,138.0,Federal,Georgia,"(32.83968004200045, -83.62757601199968)",under18,2012,2487831.0,GA
8.0,1.7,2.0,,,2023.0,16.0,7.0,103.0,Federal,Rhode Island,"(41.70828281900049, -71.52246918099962)",under18,2012,216591.0,RI
8.0,1.7,2.0,,,2023.0,16.0,7.0,103.0,Federal,Rhode Island,"(41.70828281900049, -71.52246918099962)",total,2012,1050304.0,RI
31.0,8.9,48.0,9700.0,4.6,889.0,41.0,11.0,58.0,State,Alaska,"(64.84507923900048, -147.72205669099972)",under18,2012,188162.0,AK
31.0,8.9,48.0,9700.0,4.6,889.0,41.0,11.0,58.0,State,Alaska,"(64.84507923900048, -147.72205669099972)",total,2012,730307.0,AK
92.0,2.4,8.0,80900.0,3.1,2151.0,12.0,67.0,123.0,Federal,New Jersey,"(40.1305700530005, -74.27368565099965)",total,2012,8867749.0,NJ
92.0,2.4,8.0,80900.0,3.1,2151.0,12.0,67.0,123.0,Federal,New Jersey,"(40.1305700530005, -74.27368565099965)",under18,2012,2035106.0,NJ
65.0,17.7,50.0,,,3045.0,3.0,8.0,111.0,Federal,North Dakota,"(47.47531738700047, -100.11842599699969)",total,2012,701345.0,ND
65.0,17.7,50.0,,,3045.0,3.0,8.0,111.0,Federal,North Dakota,"(47.47531738700047, -100.11842599699969)",under18,2012,156765.0,ND
536.0,4.8,35.0,203200.0,2.7,2187.0,10.0,98.0,136.0,Federal,Texas,"(31.827243635000457, -99.4267664729997)",under18,2012,6985807.0,TX
536.0,4.8,35.0,203200.0,2.7,2187.0,10.0,98.0,136.0,Federal,Texas,"(31.827243635000457, -99.4267664729997)",total,2012,26060796.0,TX
375.0,2.3,6.0,345400.0,3.5,6422.0,1.0,216.0,179.0,State,California,"(37.638640488000476, -120.99999889499969)",under18,2012,9209007.0,CA
375.0,2.3,6.0,345400.0,3.5,6422.0,1.0,216.0,179.0,State,California,"(37.638640488000476, -120.99999889499969)",total,2012,37999878.0,CA
